x	y
0,6	1,30E-02
0,65	0,037
0,69	0,06
0,73	0,081
0,77	0,101
0,8	0,12
0,84	0,139
0,88	0,156
0,91	0,173
0,94	0,189
0,97	0,205
1	0,22
1,03	0,235
1,05	0,249
1,08	0,263
1,11	0,277
1,13	0,29
1,16	0,304
1,18	0,316
1,21	0,329
1,24	0,341
1,26	0,353
1,28	0,365
1,3	0,377
1,32	0,388
1,34	0,399
1,36	0,41
1,39	0,421
1,4	0,432
1,43	0,443
1,45	0,453
1,47	0,463
1,49	0,473
1,5	0,484
1,52	0,493
1,54	0,503
1,55	0,513
1,58	0,523
1,59	0,532
1,62	0,541
1,64	0,551
1,65	0,56
1,67	0,569
1,68	0,578
1,69	0,587
1,71	0,595
1,72	0,604
1,75	0,613
1,76	0,621
1,79	0,63
1,81	0,638
1,82	0,646
1,83	0,655
